code,name,ma_window,window_days,band,max_outside,min_up_days,min_rise_pct,up_days,rise_pct,start_date,end_date,last_close,last_ma
688681,科汇股份,20,10,0.0200,2,6,0.000000,9,0.033365,2026-01-29,2026-02-11,19.9300,19.6980
688513,苑东生物,30,10,0.0200,2,6,0.000000,9,0.019553,2026-01-13,2026-01-26,58.5800,59.3730
688076,ST诺泰,30,10,0.0200,2,6,0.000000,9,0.006938,2026-01-05,2026-01-16,38.2000,38.4617
688755,汉邦科技,30,10,0.0200,2,6,0.000000,9,0.005990,2026-01-29,2026-02-11,40.3700,41.2040
688677,海泰新光,20,10,0.0200,2,6,0.000000,9,0.020616,2026-01-29,2026-02-11,48.3600,48.4180
688819,天能股份,20,10,0.0200,2,6,0.000000,8,0.006540,2026-01-29,2026-02-11,34.5300,34.7040
688665,四方光电,30,10,0.0200,2,6,0.000000,9,0.015633,2026-01-29,2026-02-11,51.6000,51.7570
688087,英科再生,20,10,0.0200,2,6,0.000000,8,0.016841,2026-01-05,2026-01-16,32.0600,31.4565
688695,中创股份,20,10,0.0200,2,6,0.000000,6,0.004293,2026-01-29,2026-02-11,29.3100,29.0100
688036,传音控股,30,10,0.0200,2,6,0.000000,6,0.003870,2026-01-05,2026-01-16,66.2000,68.1267
